Color,RGB,Hex
Black,0 0 0,000000
Violet,85 65 95,55415F
Gray,100 105 100,646964
Red,215 115 85,D77355
Blue,80 140 215,508CD7
Green,100 185 100,64B964
Yellow,230 200 110,E6C86E
White,220 245 255,DCF5FF
