Color,RGB,Hex
#140c1c,20 12 28,140C1C
#442434,68 36 52,442434
#30346d,48 52 109,30346D
#4e4a4e,78 74 78,4E4A4E
#854c30,133 76 48,854C30
#346524,52 101 36,346524
#d04648,208 70 72,D04648
#757161,117 113 97,757161
#597dce,89 125 206,597DCE
#d27d2c,210 125 44,D27D2C
#8595a1,133 149 161,8595A1
#6daa2c,109 170 44,6DAA2C
#d2aa99,210 170 153,D2AA99
#6dc2ca,109 194 202,6DC2CA
#dad45e,218 212 94,DAD45E
#deeed6,222 238 214,DEEED6
